Date,SEMA.MI
2021-04-15,37.154998779296875
2021-04-16,37.255001068115234
2021-04-19,37.0
2021-04-20,36.66999816894531
2021-04-21,36.7599983215332
2021-04-22,37.005001068115234
2021-04-23,37.19499969482422
2021-04-26,37.19499969482422
2021-04-27,37.29999923706055
2021-04-28,37.38999938964844
2021-04-29,37.18000030517578
2021-04-30,36.959999084472656
2021-05-03,36.81999969482422
2021-05-04,36.404998779296875
2021-05-05,36.845001220703125
2021-05-06,36.869998931884766
2021-05-07,37.165000915527344
2021-05-10,36.52000045776367
2021-05-11,36.095001220703125
2021-05-12,35.70500183105469
2021-05-13,35.53499984741211
2021-05-14,35.86000061035156
2021-05-17,35.775001525878906
2021-05-18,36.22999954223633
2021-05-19,35.86000061035156
2021-05-20,36.17499923706055
2021-05-21,35.98500061035156
2021-05-24,36.07500076293945
2021-05-25,36.375
2021-05-26,36.70000076293945
2021-05-27,36.84000015258789
2021-05-28,37.119998931884766
2021-05-31,37.2400016784668
2021-06-01,37.63999938964844
2021-06-02,37.84000015258789
2021-06-03,37.810001373291016
2021-06-04,37.875
2021-06-07,37.54499816894531
2021-06-08,37.459999084472656
2021-06-09,37.46500015258789
2021-06-10,37.71500015258789
2021-06-11,37.790000915527344
2021-06-14,37.93000030517578
2021-06-15,37.6150016784668
2021-06-16,37.6349983215332
2021-06-17,38.040000915527344
2021-06-18,37.834999084472656
2021-06-21,37.709999084472656
2021-06-22,37.55500030517578
2021-06-23,37.880001068115234
2021-06-24,38.15999984741211
2021-06-25,38.400001525878906
2021-06-28,38.44499969482422
2021-06-29,38.345001220703125
2021-06-30,38.47999954223633
2021-07-01,38.15999984741211
2021-07-02,38.10499954223633
2021-07-05,37.91999816894531
2021-07-06,37.73500061035156
2021-07-07,37.70500183105469
2021-07-08,36.83000183105469
2021-07-09,37.30500030517578
2021-07-12,37.349998474121094
2021-07-13,37.80500030517578
2021-07-14,37.77000045776367
2021-07-15,37.96500015258789
2021-07-16,37.68000030517578
2021-07-19,36.92499923706055
2021-07-20,37.119998931884766
2021-07-21,37.1349983215332
2021-07-22,37.45000076293945
2021-07-23,36.90999984741211
2021-07-26,36.19499969482422
2021-07-27,35.095001220703125
2021-07-28,36.15999984741211
2021-07-29,36.3849983215332
2021-07-30,36.125
2021-08-02,36.439998626708984
2021-08-03,36.310001373291016
2021-08-04,36.7599983215332
2021-08-05,36.81999969482422
2021-08-06,36.595001220703125
2021-08-09,36.880001068115234
2021-08-10,36.91999816894531
2021-08-11,36.90999984741211
2021-08-12,36.65999984741211
2021-08-13,36.31999969482422
2021-08-16,36.025001525878906
2021-08-17,35.790000915527344
2021-08-18,35.974998474121094
2021-08-19,35.15999984741211
2021-08-20,35.099998474121094
2021-08-23,35.369998931884766
2021-08-24,36.27000045776367
2021-08-25,36.314998626708984
2021-08-26,36.060001373291016
2021-08-27,36.275001525878906
2021-08-30,36.375
2021-08-31,36.875
2021-09-01,37.26499938964844
2021-09-02,37.185001373291016
2021-09-03,37.125
2021-09-06,37.5099983215332
2021-09-07,37.505001068115234
2021-09-08,37.040000915527344
2021-09-09,36.89500045776367
2021-09-10,36.96500015258789
2021-09-13,36.97999954223633
2021-09-14,36.744998931884766
2021-09-15,36.44499969482422
2021-09-16,36.349998474121094
2021-09-17,36.35499954223633
2021-09-20,35.540000915527344
2021-09-21,35.58000183105469
2021-09-22,36.21500015258789
2021-09-23,36.28499984741211
2021-09-24,36.04999923706055
2021-09-27,36.25
2021-09-28,35.85499954223633
2021-09-29,35.935001373291016
2021-09-30,36.290000915527344
2021-10-01,35.970001220703125
2021-10-04,35.369998931884766
2021-10-05,35.82500076293945
2021-10-06,35.59000015258789
2021-10-07,36.525001525878906
2021-10-08,36.51499938964844
2021-10-11,36.72999954223633
2021-10-12,36.5099983215332
2021-10-13,36.724998474121094
2021-10-14,36.78499984741211
2021-10-15,37.28499984741211
2021-10-18,37.19499969482422
2021-10-19,37.505001068115234
2021-10-20,37.51499938964844
2021-10-21,37.189998626708984
2021-10-22,37.150001525878906
2021-10-25,37.46500015258789
2021-10-26,37.474998474121094
2021-10-27,37.1150016784668
2021-10-28,36.70000076293945
2021-10-29,36.65999984741211
2021-11-01,36.845001220703125
2021-11-02,36.55500030517578
2021-11-03,36.55500030517578
2021-11-04,36.69499969482422
2021-11-05,36.72999954223633
2021-11-08,36.8849983215332
2021-11-09,36.85499954223633
2021-11-10,37.18000030517578
2021-11-11,37.755001068115234
2021-11-12,37.84000015258789
2021-11-15,37.875
2021-11-16,38.130001068115234
2021-11-17,38.084999084472656
2021-11-18,37.45500183105469
2021-11-19,37.60499954223633
2021-11-22,37.540000915527344
2021-11-23,37.255001068115234
2021-11-24,37.46500015258789
2021-11-25,37.525001525878906
2021-11-26,35.73500061035156
2021-11-29,36.1349983215332
2021-11-30,35.94499969482422
2021-12-01,36.775001525878906
2021-12-02,36.70500183105469
2021-12-03,36.1349983215332
2021-12-06,36.314998626708984
2021-12-07,37.04999923706055
2021-12-08,36.98500061035156
2021-12-09,37.07500076293945
2021-12-10,36.810001373291016
2021-12-13,36.31999969482422
2021-12-14,36.25
2021-12-15,35.880001068115234
2021-12-16,36.33000183105469
2021-12-17,36.19499969482422
2021-12-20,35.314998626708984
2021-12-21,36.04999923706055
2021-12-22,36.084999084472656
2021-12-23,36.35499954223633
2021-12-24,
2021-12-27,36.53499984741211
2021-12-28,36.439998626708984
2021-12-29,36.154998779296875
2021-12-30,36.57500076293945
2021-12-31,
2022-01-03,36.8650016784668
2022-01-04,36.69499969482422
2022-01-05,36.525001525878906
2022-01-06,36.310001373291016
2022-01-07,36.36000061035156
2022-01-10,36.435001373291016
2022-01-11,37.1150016784668
2022-01-12,37.474998474121094
2022-01-13,37.220001220703125
2022-01-14,37.03499984741211
2022-01-17,37.09000015258789
2022-01-18,36.8650016784668
2022-01-19,36.92499923706055
2022-01-20,37.650001525878906
2022-01-21,36.92499923706055
2022-01-24,35.71500015258789
2022-01-25,36.02000045776367
2022-01-26,36.189998626708984
2022-01-27,36.06999969482422
2022-01-28,35.72999954223633
2022-01-31,36.53499984741211
2022-02-01,36.81999969482422
2022-02-02,36.599998474121094
2022-02-03,35.96500015258789
2022-02-04,35.83000183105469
2022-02-07,35.98500061035156
2022-02-08,36.255001068115234
2022-02-09,36.790000915527344
2022-02-10,36.8650016784668
2022-02-11,36.78499984741211
2022-02-14,36.290000915527344
2022-02-15,36.70000076293945
2022-02-16,36.939998626708984
2022-02-17,36.95000076293945
2022-02-18,36.42499923706055
2022-02-21,36.1349983215332
2022-02-22,35.88999938964844
2022-02-23,35.720001220703125
2022-02-24,34.47999954223633
2022-02-25,35.27000045776367
2022-02-28,35.1150016784668
2022-03-01,35.35499954223633
2022-03-02,35.244998931884766
2022-03-03,34.94499969482422
2022-03-04,34.42499923706055
2022-03-07,33.904998779296875
2022-03-08,33.39500045776367
2022-03-09,33.689998626708984
2022-03-10,33.31999969482422
2022-03-11,33.17499923706055
2022-03-14,32.26499938964844
2022-03-15,32.040000915527344
2022-03-16,33.970001220703125
2022-03-17,33.904998779296875
2022-03-18,34.6349983215332
