Date,EM710.MI
2021-12-13,191.16000366210938
2021-12-14,190.80999755859375
2021-12-15,190.89999389648438
2021-12-16,190.4199981689453
2021-12-17,191.0
2021-12-20,190.75
2021-12-21,189.75
2021-12-22,189.5800018310547
2021-12-23,188.80999755859375
2021-12-24,
2021-12-27,188.77000427246094
2021-12-28,188.8000030517578
2021-12-29,187.9199981689453
2021-12-30,187.7899932861328
2021-12-31,
2022-01-03,187.4199981689453
2022-01-04,187.32000732421875
2022-01-05,187.22000122070312
2022-01-06,186.85000610351562
2022-01-07,186.36000061035156
2022-01-10,186.47999572753906
2022-01-11,186.1699981689453
2022-01-12,186.7100067138672
2022-01-13,187.13999938964844
2022-01-14,186.52999877929688
2022-01-17,186.1999969482422
2022-01-18,185.9499969482422
2022-01-19,185.83999633789062
2022-01-20,186.1300048828125
2022-01-21,186.5399932861328
2022-01-24,186.8699951171875
2022-01-25,186.58999633789062
2022-01-26,186.35000610351562
2022-01-27,186.27999877929688
2022-01-28,186.14999389648438
2022-01-31,185.35000610351562
2022-02-01,184.89999389648438
2022-02-02,184.8699951171875
2022-02-03,182.39999389648438
2022-02-04,181.5500030517578
2022-02-07,180.89999389648438
2022-02-08,180.24000549316406
2022-02-09,180.99000549316406
2022-02-10,179.55999755859375
2022-02-11,179.32000732421875
2022-02-14,179.50999450683594
2022-02-15,179.1699981689453
2022-02-16,179.83999633789062
2022-02-17,180.5500030517578
2022-02-18,180.91000366210938
2022-02-21,180.49000549316406
2022-02-22,180.08999633789062
2022-02-23,179.99000549316406
2022-02-24,181.14999389648438
2022-02-25,180.42999267578125
2022-02-28,181.83999633789062
2022-03-01,185.72000122070312
2022-03-02,183.83999633789062
2022-03-03,183.83999633789062
2022-03-04,185.05999755859375
2022-03-07,183.97999572753906
2022-03-08,183.1300048828125
2022-03-09,181.74000549316406
2022-03-10,179.8699951171875
2022-03-11,180.22999572753906
2022-03-14,178.91000366210938
2022-03-15,179.44000244140625
2022-03-16,179.25
2022-03-17,179.1300048828125
2022-03-18,179.47999572753906
2022-03-21,178.1199951171875
2022-03-22,177.55999755859375
2022-03-23,177.99000549316406
2022-03-24,177.27999877929688
2022-03-25,176.67999267578125
2022-03-28,176.52999877929688
2022-03-29,175.60000610351562
2022-03-30,175.1999969482422
2022-03-31,177.0
2022-04-01,176.0800018310547
2022-04-04,176.38999938964844
2022-04-05,174.86000061035156
2022-04-06,174.1699981689453
2022-04-07,173.99000549316406
2022-04-08,173.3000030517578
2022-04-11,172.33999633789062
2022-04-12,172.86000061035156
2022-04-13,173.00999450683594
2022-04-14,172.1999969482422
2022-04-19,171.4199981689453
2022-04-20,172.0
2022-04-21,171.25
2022-04-22,170.39999389648438
2022-04-25,171.8800048828125
2022-04-26,172.3699951171875
2022-04-27,172.17999267578125
2022-04-28,170.8800048828125
2022-04-29,170.11000061035156
2022-05-02,169.72999572753906
2022-05-03,169.47999572753906
2022-05-04,168.91000366210938
2022-05-05,167.99000549316406
2022-05-06,167.14999389648438
2022-05-09,167.35000610351562
2022-05-10,168.5
2022-05-11,169.22999572753906
2022-05-12,171.3699951171875
2022-05-13,170.1999969482422
2022-05-16,170.30999755859375
2022-05-17,168.7899932861328
2022-05-18,168.9499969482422
2022-05-19,169.89999389648438
2022-05-20,169.41000366210938
2022-05-23,168.5
2022-05-24,169.2100067138672
2022-05-25,169.3800048828125
2022-05-26,169.41000366210938
2022-05-27,169.74000549316406
2022-05-30,168.63999938964844
2022-05-31,167.4600067138672
2022-06-01,166.82000732421875
2022-06-02,165.50999450683594
2022-06-03,164.97000122070312
2022-06-06,164.41000366210938
2022-06-07,165.32000732421875
2022-06-08,164.33999633789062
2022-06-09,162.4499969482422
2022-06-10,161.02999877929688
2022-06-13,158.6699981689453
2022-06-14,157.1300048828125
2022-06-15,159.36000061035156
2022-06-16,159.32000732421875
2022-06-17,160.3800048828125
2022-06-20,159.52999877929688
2022-06-21,159.32000732421875
2022-06-22,161.24000549316406
2022-06-23,163.67999267578125
2022-06-24,163.1699981689453
2022-06-27,162.14999389648438
2022-06-28,160.88999938964844
2022-06-29,162.9600067138672
2022-06-30,164.6300048828125
2022-07-01,167.0
2022-07-04,164.88999938964844
2022-07-05,166.5800018310547
2022-07-06,167.0
2022-07-07,165.8800048828125
2022-07-08,165.27000427246094
2022-07-11,166.50999450683594
2022-07-12,168.02999877929688
2022-07-13,167.83999633789062
2022-07-14,166.75999450683594
2022-07-15,167.14999389648438
2022-07-18,166.5500030517578
2022-07-19,165.63999938964844
2022-07-20,165.91000366210938
2022-07-21,165.67999267578125
2022-07-22,168.3800048828125
2022-07-25,168.52000427246094
2022-07-26,169.5800018310547
2022-07-27,169.24000549316406
2022-07-28,171.5399932861328
2022-07-29,171.80999755859375
2022-08-01,172.7100067138672
2022-08-02,172.16000366210938
2022-08-03,171.3800048828125
2022-08-04,172.5
2022-08-05,170.72999572753906
2022-08-08,171.27999877929688
2022-08-09,170.89999389648438
2022-08-10,171.52999877929688
2022-08-11,170.6300048828125
2022-08-12,170.11000061035156
2022-08-15,
2022-08-16,170.05999755859375
2022-08-17,168.36000061035156
2022-08-18,168.1300048828125
2022-08-19,166.30999755859375
2022-08-22,165.25999450683594
2022-08-23,164.97000122070312
2022-08-24,164.36000061035156
2022-08-25,165.22000122070312
2022-08-26,164.0800018310547
2022-08-29,162.58999633789062
2022-08-30,162.52000427246094
2022-08-31,161.97000122070312
2022-09-01,161.5
2022-09-02,162.35000610351562
2022-09-05,161.60000610351562
2022-09-06,161.27000427246094
2022-09-07,162.0800018310547
2022-09-08,160.57000732421875
2022-09-09,160.27999877929688
2022-09-12,161.02999877929688
2022-09-13,161.02999877929688
2022-09-14,161.02999877929688
2022-09-15,161.02999877929688
2022-09-16,161.02999877929688
2022-09-19,161.02999877929688
2022-09-20,161.02999877929688
2022-09-21,158.1300048828125
2022-09-22,157.02999877929688
2022-09-23,155.8699951171875
2022-09-26,154.85000610351562
2022-09-27,152.8000030517578
2022-09-28,154.27000427246094
2022-09-29,153.86000061035156
2022-09-30,155.02999877929688
2022-10-03,157.8800048828125
2022-10-04,158.0800018310547
2022-10-05,156.0
2022-10-06,155.3000030517578
2022-10-07,153.6199951171875
2022-10-10,153.10000610351562
2022-10-11,153.0800018310547
2022-10-12,152.41000366210938
2022-10-13,153.10000610351562
2022-10-14,152.3300018310547
2022-10-17,153.42999267578125
2022-10-18,153.25999450683594
2022-10-19,152.19000244140625
2022-10-20,152.3000030517578
2022-10-21,151.88999938964844
2022-10-24,153.33999633789062
2022-10-25,155.75
2022-10-26,156.00999450683594
2022-10-27,158.22999572753906
2022-10-28,156.94000244140625
2022-10-31,155.9199981689453
2022-11-01,156.2100067138672
2022-11-02,156.05999755859375
2022-11-03,154.6999969482422
2022-11-04,154.22999572753906
2022-11-07,154.02000427246094
2022-11-08,154.6699981689453
2022-11-09,155.5800018310547
2022-11-10,158.35000610351562
2022-11-11,156.02999877929688
2022-11-14,156.1300048828125
2022-11-15,157.35000610351562
2022-11-16,158.4199981689453
2022-11-17,158.0800018310547
2022-11-18,158.5800018310547
2022-11-21,158.88999938964844
2022-11-22,158.77000427246094
2022-11-23,159.66000366210938
2022-11-24,160.6999969482422
2022-11-25,158.92999267578125
2022-11-28,158.4600067138672
2022-11-29,159.60000610351562
2022-11-30,159.17999267578125
2022-12-01,160.88999938964844
2022-12-02,160.25999450683594
2022-12-05,160.0800018310547
2022-12-06,161.08999633789062
2022-12-07,161.50999450683594
2022-12-08,160.8000030517578
2022-12-09,159.57000732421875
2022-12-12,159.22000122070312
2022-12-13,159.72000122070312
2022-12-14,159.25
2022-12-15,156.69000244140625
2022-12-16,155.69000244140625
2022-12-19,155.1699981689453
2022-12-20,154.00999450683594
2022-12-21,154.02999877929688
2022-12-22,153.38999938964844
2022-12-23,153.1199951171875
2022-12-27,151.67999267578125
2022-12-28,151.75999450683594
2022-12-29,152.55999755859375
2022-12-30,151.22000122070312
2023-01-02,152.58999633789062
2023-01-03,153.42999267578125
2023-01-04,154.8800048828125
2023-01-05,154.52000427246094
2023-01-06,155.7100067138672
2023-01-09,155.6999969482422
2023-01-10,154.91000366210938
2023-01-11,156.52999877929688
2023-01-12,157.3000030517578
2023-01-13,157.38999938964844
2023-01-16,157.1999969482422
2023-01-17,158.42999267578125
2023-01-18,159.58999633789062
2023-01-19,159.27999877929688
2023-01-20,157.50999450683594
2023-01-23,157.02999877929688
2023-01-24,157.6999969482422
2023-01-25,157.49000549316406
2023-01-26,156.86000061035156
2023-01-27,156.33999633789062
2023-01-30,155.35000610351562
2023-01-31,155.88999938964844
2023-02-01,155.67999267578125
2023-02-02,159.38999938964844
2023-02-03,157.6199951171875
2023-02-06,156.4199981689453
2023-02-07,156.25999450683594
2023-02-08,155.4499969482422
2023-02-09,156.16000366210938
2023-02-10,155.3699951171875
2023-02-13,155.35000610351562
2023-02-14,154.5800018310547
2023-02-15,153.89999389648438
2023-02-16,153.97999572753906
2023-02-17,154.32000732421875
2023-02-20,154.0399932861328
2023-02-21,152.97999572753906
2023-02-22,153.0800018310547
2023-02-23,153.92999267578125
2023-02-24,152.97999572753906
2023-02-27,152.60000610351562
2023-02-28,151.97999572753906
2023-03-01,151.0
2023-03-02,150.64999389648438
2023-03-03,151.16000366210938
2023-03-06,150.85000610351562
2023-03-07,151.1999969482422
2023-03-08,151.8699951171875
2023-03-09,152.2100067138672
2023-03-10,153.4499969482422
2023-03-13,155.47999572753906
2023-03-14,154.13999938964844
2023-03-15,157.52000427246094
2023-03-16,156.32000732421875
2023-03-17,157.85000610351562
2023-03-20,158.30999755859375
2023-03-21,156.4600067138672
2023-03-22,155.6300048828125
2023-03-23,157.42999267578125
