Date,X57E.MI
2009-10-28,169.63999938964844
2009-10-29,168.8800048828125
2009-10-30,169.38999938964844
2009-11-02,169.5800018310547
2009-11-03,169.6999969482422
2009-11-04,169.27999877929688
2009-11-05,169.27000427246094
2009-11-06,169.11000061035156
2009-11-09,169.13999938964844
2009-11-10,169.8300018310547
2009-11-11,169.8300018310547
2009-11-12,169.89999389648438
2009-11-13,
2009-11-16,
2009-11-17,169.9199981689453
2009-11-18,169.97000122070312
2009-11-19,170.00999450683594
2009-11-20,169.8300018310547
2009-11-23,169.5800018310547
2009-11-24,170.02000427246094
2009-11-25,169.97999572753906
2009-11-26,170.60000610351562
2009-11-27,170.57000732421875
2009-11-30,170.66000366210938
2009-12-01,170.8699951171875
2009-12-02,170.9499969482422
2009-12-03,170.6999969482422
2009-12-04,170.08999633789062
2009-12-07,170.58999633789062
2009-12-08,171.0500030517578
2009-12-09,170.6199951171875
2009-12-10,170.24000549316406
2009-12-11,170.1999969482422
2009-12-14,170.4199981689453
2009-12-15,170.08999633789062
2009-12-16,170.5399932861328
2009-12-17,170.89999389648438
2009-12-18,171.02999877929688
2009-12-21,170.47000122070312
2009-12-22,170.19000244140625
2009-12-23,170.1999969482422
2009-12-28,169.67999267578125
2009-12-29,169.42999267578125
2009-12-30,169.00999450683594
2010-01-04,169.30999755859375
2010-01-05,169.30999755859375
2010-01-06,169.38999938964844
2010-01-07,169.75
2010-01-08,169.86000061035156
2010-01-11,170.08999633789062
2010-01-12,170.4499969482422
2010-01-13,170.39999389648438
2010-01-14,170.27999877929688
2010-01-15,170.39999389648438
2010-01-18,170.4499969482422
2010-01-19,170.22999572753906
2010-01-20,170.2899932861328
2010-01-21,170.52999877929688
2010-01-22,170.64999389648438
2010-01-25,170.74000549316406
2010-01-26,171.07000732421875
2010-01-27,171.07000732421875
2010-01-28,170.27999877929688
2010-01-29,170.36000061035156
2010-02-01,170.25999450683594
2010-02-02,170.77999877929688
2010-02-03,170.4600067138672
2010-02-04,170.58999633789062
2010-02-05,170.5800018310547
2010-02-08,170.64999389648438
2010-02-09,170.74000549316406
2010-02-10,170.85000610351562
2010-02-11,170.97000122070312
2010-02-12,171.52000427246094
2010-02-15,171.5399932861328
2010-02-16,171.24000549316406
2010-02-17,171.44000244140625
2010-02-18,171.22000122070312
2010-02-19,170.77000427246094
2010-02-22,171.00999450683594
2010-02-23,172.0
2010-02-24,172.16000366210938
2010-02-25,172.13999938964844
2010-02-26,172.2899932861328
2010-03-01,172.5800018310547
2010-03-02,172.55999755859375
2010-03-03,172.52000427246094
2010-03-04,172.60000610351562
2010-03-05,172.49000549316406
2010-03-08,172.4199981689453
2010-03-09,173.00999450683594
2010-03-10,172.66000366210938
2010-03-11,172.39999389648438
2010-03-12,172.47999572753906
2010-03-15,172.52999877929688
2010-03-16,172.77999877929688
2010-03-17,173.42999267578125
2010-03-18,172.94000244140625
2010-03-19,172.8800048828125
2010-03-22,173.22000122070312
2010-03-23,173.1699981689453
2010-03-24,173.30999755859375
2010-03-25,172.8000030517578
2010-03-26,172.88999938964844
2010-03-29,173.0500030517578
2010-03-30,172.91000366210938
2010-03-31,173.30999755859375
2010-04-01,173.3699951171875
2010-04-06,172.5800018310547
2010-04-07,172.82000732421875
2010-04-08,172.92999267578125
2010-04-09,172.4600067138672
2010-04-12,172.86000061035156
2010-04-13,173.0500030517578
2010-04-14,172.8800048828125
2010-04-15,172.92999267578125
2010-04-16,173.22999572753906
2010-04-19,173.1199951171875
2010-04-20,173.0
2010-04-21,172.67999267578125
2010-04-22,172.5
2010-04-23,171.8300018310547
2010-04-26,171.4499969482422
2010-04-27,171.3000030517578
2010-04-28,170.47000122070312
2010-04-29,171.38999938964844
2010-04-30,171.75999450683594
2010-05-03,171.82000732421875
2010-05-04,171.8300018310547
2010-05-05,171.6699981689453
2010-05-06,171.16000366210938
2010-05-07,170.7100067138672
2010-05-10,173.42999267578125
2010-05-11,174.61000061035156
2010-05-12,174.5399932861328
2010-05-13,175.0500030517578
2010-05-14,175.1999969482422
2010-05-17,174.97999572753906
2010-05-18,175.64999389648438
2010-05-19,176.14999389648438
2010-05-20,175.61000061035156
2010-05-21,176.07000732421875
2010-05-24,176.24000549316406
2010-05-25,176.38999938964844
2010-05-26,176.16000366210938
2010-05-27,175.64999389648438
2010-05-28,175.38999938964844
2010-05-31,175.60000610351562
2010-06-01,175.25
2010-06-02,174.74000549316406
2010-06-03,174.25999450683594
2010-06-04,174.32000732421875
2010-06-07,174.1199951171875
2010-06-08,173.8000030517578
2010-06-09,173.5399932861328
2010-06-10,174.5
2010-06-11,174.83999633789062
2010-06-14,174.52999877929688
2010-06-15,173.82000732421875
2010-06-16,173.88999938964844
2010-06-17,173.8300018310547
2010-06-18,173.57000732421875
2010-06-21,173.6699981689453
2010-06-22,173.9199981689453
2010-06-23,173.92999267578125
2010-06-24,173.9600067138672
2010-06-25,173.6300048828125
2010-06-28,173.58999633789062
2010-06-29,173.85000610351562
2010-06-30,173.8699951171875
2010-07-01,174.0
2010-07-02,174.3800048828125
2010-07-05,174.94000244140625
2010-07-06,174.5
2010-07-07,174.35000610351562
2010-07-08,174.35000610351562
2010-07-09,174.58999633789062
2010-07-12,175.1199951171875
2010-07-13,174.75999450683594
2010-07-14,174.2899932861328
2010-07-15,174.13999938964844
2010-07-16,174.22999572753906
2010-07-19,174.44000244140625
2010-07-20,174.39999389648438
2010-07-21,174.83999633789062
2010-07-22,174.82000732421875
2010-07-23,174.35000610351562
2010-07-26,174.17999267578125
2010-07-27,174.5399932861328
2010-07-28,174.5
2010-07-29,174.94000244140625
2010-07-30,175.27999877929688
2010-08-02,174.0
2010-08-03,175.5
2010-08-04,176.02000427246094
2010-08-05,176.08999633789062
2010-08-06,176.63999938964844
2010-08-09,176.94000244140625
2010-08-10,176.66000366210938
2010-08-11,177.2899932861328
2010-08-12,177.14999389648438
2010-08-13,176.97000122070312
2010-08-16,177.27999877929688
2010-08-17,177.4199981689453
2010-08-18,177.94000244140625
2010-08-19,177.99000549316406
2010-08-20,178.17999267578125
2010-08-23,178.22999572753906
2010-08-24,178.47000122070312
2010-08-25,178.5399932861328
2010-08-26,178.47000122070312
2010-08-27,177.97999572753906
2010-08-30,178.1699981689453
2010-08-31,178.44000244140625
2010-09-01,178.3800048828125
2010-09-02,178.0500030517578
2010-09-03,177.85000610351562
2010-09-06,177.7899932861328
2010-09-07,178.13999938964844
2010-09-08,177.6999969482422
2010-09-09,177.38999938964844
2010-09-10,176.77999877929688
2010-09-13,176.6999969482422
2010-09-14,176.8000030517578
2010-09-15,176.77000427246094
2010-09-16,176.0
2010-09-17,176.10000610351562
2010-09-20,175.77999877929688
2010-09-21,176.0
2010-09-22,176.75999450683594
2010-09-23,177.16000366210938
2010-09-24,176.58999633789062
2010-09-27,176.75
2010-09-28,176.89999389648438
2010-09-29,176.5399932861328
2010-09-30,176.64999389648438
2010-10-01,176.72000122070312
2010-10-04,177.1999969482422
2010-10-05,177.5
2010-10-06,177.5399932861328
2010-10-07,177.3699951171875
2010-10-08,177.60000610351562
2010-10-11,177.91000366210938
2010-10-12,178.1300048828125
2010-10-13,177.80999755859375
2010-10-14,177.8300018310547
2010-10-15,177.86000061035156
2010-10-18,177.50999450683594
2010-10-19,177.39999389648438
2010-10-20,176.82000732421875
2010-10-21,176.72999572753906
2010-10-22,176.36000061035156
2010-10-25,176.44000244140625
2010-10-26,176.47000122070312
2010-10-27,176.0399932861328
2010-10-28,175.85000610351562
2010-10-29,175.86000061035156
2010-11-01,175.97000122070312
2010-11-02,175.82000732421875
2010-11-03,176.0
2010-11-04,176.17999267578125
2010-11-05,176.0399932861328
2010-11-08,176.00999450683594
2010-11-09,175.8300018310547
2010-11-10,175.47000122070312
2010-11-11,
2010-11-12,
2010-11-15,174.64999389648438
2010-11-16,174.2100067138672
2010-11-17,174.25
2010-11-18,173.47000122070312
2010-11-19,173.4600067138672
2010-11-22,173.94000244140625
2010-11-23,174.25999450683594
2010-11-24,173.64999389648438
2010-11-25,172.75999450683594
2010-11-26,172.75999450683594
2010-11-29,171.8800048828125
2010-11-30,171.47000122070312
2010-12-01,171.97000122070312
2010-12-02,172.11000061035156
2010-12-03,172.66000366210938
2010-12-06,172.85000610351562
2010-12-07,172.0500030517578
2010-12-08,171.30999755859375
2010-12-09,171.50999450683594
2010-12-10,171.22999572753906
2010-12-13,171.0
2010-12-14,170.60000610351562
2010-12-15,170.5800018310547
2010-12-16,170.52999877929688
2010-12-17,170.74000549316406
2010-12-20,171.19000244140625
2010-12-21,171.0800018310547
2010-12-22,171.2899932861328
2010-12-23,171.3800048828125
2010-12-24,
2010-12-27,170.97000122070312
2010-12-28,171.35000610351562
2010-12-29,
2010-12-30,
2010-12-31,
2011-01-03,171.4199981689453
2011-01-04,
2011-01-05,171.9199981689453
2011-01-06,
2011-01-07,
2011-01-10,
2011-01-11,
2011-01-12,
2011-01-13,171.13999938964844
2011-01-14,
2011-01-17,170.77000427246094
2011-01-18,170.57000732421875
2011-01-19,
2011-01-20,
2011-01-21,
2011-01-24,170.69000244140625
2011-01-25,
2011-01-26,
